sampleID,site,location,region,date,depth,mesh,flowin,flowout,distance,duration,volume,vol.cor,sieve,fraction.proc,sizeclass,phylum,class,order,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,stage,sex,length,ind_dryweight,count,totcount,abundance,tot_dryweight,biomass_dry,tot_ww,biomass_wet,lab.processor,processor.notes
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,0.0055,351,17550,671.47,96.53,3.69,603.28,23.08,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,2000,1,>10,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,Other,Aequorea,Aequorea,Aequorea victoria,NA,NA,43,150,1,1,0.04,150.00,5.74,3750.00,143.48,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,0.04,24,1200,45.91,48.00,1.84,300.00,11.48,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,0.0026,1,50,1.91,0.13,0.00,0.81,0.03,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Bryozoa,NA,NA,NA,NA,NA,Other,Bryozoa,Bryozoa,Bryozoa,NA,NA,<2,0.002,74,3700,141.56,7.40,0.28,137.04,5.24,Andrea Le,
JSPK1041,J06,JS,North,2015-06-07,0,250,174275,179433,138.6110726,NA,27.202423,28.03642872,1000,1,2-5,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,NA,2.05,0.1,2,2,0.07,0.20,0.01,1.25,0.04,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,0.018,19,950,36.35,17.10,0.65,106.88,4.09,Andrea Le,
JSPK1093,J07,JS,South,2015-06-29,0,250,371340,374247,78.11988912,NA,15.33102824,16.41211502,250,0.01,2-5,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,2.5,0.01,2,200,12.19,2.00,0.12,21.51,1.31,Jihyun Kim,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,5-10,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,NA,Other,Clytia,Clytia,Clytia,NA,NA,5.5,0.8,1,1,0.04,0.80,0.03,20.00,0.77,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,0.0003,3,150,5.74,0.05,0.00,0.28,0.01,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Cyprid,NA,NA,<2,0.35,2,100,3.83,35.00,1.34,218.75,8.37,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,1-2,Chordata,Actinopterygii,NA,NA,NA,NA,Other,Actinopterygii,Actinopterygii,Egg (fish),NA,NA,<2,0.02,6,6,0.23,0.12,0.00,2.22,0.09,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,NA,NA,NA,NA,NA,NA,Other,Other,Other,Egg (oily),NA,NA,<2,0.0045,17,850,32.52,3.83,0.15,70.83,2.71,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,1-2,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,NA,NA,<2,0.044,1,1,0.04,0.04,0.00,0.28,0.01,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,<C5,NA,<2,0.03,6,300,11.48,9.00,0.34,56.25,2.15,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,<2,0.005,10,500,19.13,2.50,0.10,19.23,0.74,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod veliger,veliger,NA,<2,0.0026,1,50,1.91,0.13,0.00,0.57,0.02,Andrea Le,
JSPK1100,J07,JS,South,2016-05-27,0,250,604764,606548,47.94147994,NA,9.408515439,9.2503,1000,1,2-5,Arthropoda,Malacostraca,Decapoda,Grapsidae,NA,NA,Decapod ,Grapsidae,Grapsidae,Grapsidae,zoea,NA,2.1,0.07,1,1,0.11,0.07,0.01,0.39,0.04,Sam James,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,NA,Cladoceran,Podon,Podon,Podon,NA,NA,<2,0.005,1,50,1.91,0.25,0.01,1.92,0.07,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,0.012,4,200,7.65,2.40,0.09,15.00,0.57,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,2-5,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,M,2.1,0.05,1,1,0.04,0.05,0.00,0.31,0.01,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,1000,1,1-2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,0.0055,3,3,0.12,0.02,0.00,0.10,0.00,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,0.0055,114,5700,226.86,31.35,1.25,195.94,7.80,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,NA,<2,0.05,1,50,1.99,2.50,0.10,15.63,0.62,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,F,<2,0.05,1,50,1.99,2.50,0.10,15.63,0.62,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,0.04,61,3050,121.39,122.00,4.86,762.50,30.35,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,1000,1,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,0.0026,1,1,0.04,0.00,0.00,0.02,0.00,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,0.0026,6,300,11.94,0.78,0.03,4.88,0.19,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,<1,Bryozoa,NA,NA,NA,NA,NA,Other,Bryozoa,Bryozoa,Bryozoa,NA,NA,<2,0.002,6,300,11.94,0.60,0.02,11.11,0.44,Andrea Le,
JSPK1048,J02,JS,North,2015-06-09,0,250,203624,206764,84.38130438,NA,16.55983098,17.15639246,1000,1,2-5,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,2.1,0.1,22,22,1.28,2.20,0.13,13.75,0.80,Andrea Le,
JSPK1045,J04,JS,North,2015-06-08,0,250,190640,196945,169.4344344,NA,33.25150776,34.37292045,1000,1,2-5,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,F,2.1,0.05,3,3,0.09,0.15,0.00,0.94,0.03,Andrea Le,
JSPK1041,J06,JS,North,2015-06-07,0,250,174275,179433,138.6110726,NA,27.202423,28.03642872,1000,1,2-5,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,NA,2.1,0.05,1,1,0.04,0.05,0.00,0.31,0.01,Andrea Le,
JSPK1093,J07,JS,South,2015-06-29,0,250,371340,374247,78.11988912,NA,15.33102824,16.41211502,1000,1,2-5,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,NA,2.1,0.05,55,55,3.35,2.75,0.17,17.19,1.05,Jihyun Kim,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,NA,<2,0.018,2,100,3.98,1.80,0.07,11.25,0.45,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,0.018,1,50,1.99,0.90,0.04,5.63,0.22,Andrea Le,
JSPK1135,J07,JS,South,2016-06-20,0,250,688676,691262,69.49364749,0:01:59,13.63812832,15.03887957,250,0.03,2-5,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,3,0.014,1,33,2.22,0.47,0.03,5.02,0.33,Andrea Le,
JSPK1124,J07,JS,South,2016-06-11,0,250,663400,666580,85.45622546,0:02:30,16.77078425,18.3518864,1000,1,5-10,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,6.5,0.063,1,1,0.05,0.06,0.00,0.68,0.04,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,1000,1,5-10,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,NA,Other,Clytia,Clytia,Clytia,NA,NA,6.4,1,8,8,0.32,8.00,0.32,200.00,7.96,Andrea Le,
